chr_n;pos_ini;pos_end;n_genes;n_su;n_su_lista;n_su_pssm
chr12;114463525;114464246;15;1;1;0
chr12;114589780;114590378;13;1;1;0
chr12;114666134;114666574;9;2;2;0
chr12;114676529;114677100;9;3;2;1
chr12;114773306;114774006;8;4;3;1
chr12;115141410;115141938;4;3;3;0
chr12;115141943;115142468;4;1;1;0
chr12;115159010;115159642;4;3;2;1
chr12;115237422;115237795;4;0;0;0
chr12;115514976;115515368;4;1;1;0
chr12;115612620;115613228;4;1;1;0
chr12;115812738;115813016;4;3;3;0
chr12;115918868;115919353;3;2;2;0
chr12;116175203;116175603;4;1;1;0
chr12;116620323;116620959;9;2;1;1
chr12;116940754;116941442;10;1;0;1
chr12;117130935;117131427;10;1;1;0
chr12;117135516;117136093;10;1;1;0
chr12;117514709;117515318;13;2;1;1
chr12;118364203;118364687;11;0;0;0
chr12;119251807;119252104;14;0;0;0
chr12;119417619;119417958;13;3;1;2
chr12;119528440;119529310;12;1;1;0
chr12;119810119;119810832;17;1;1;0
chr12;119819314;119820080;16;2;2;0
chr12;120670668;120671187;33;3;2;1
chr12;120739910;120740355;34;3;3;0
chr12;121855442;121856013;42;1;1;0
chr12;122147517;122148345;35;6;5;1
chr12;122501902;122502503;38;3;2;1
chr12;122591312;122591973;38;5;2;3
chr12;122985444;122985806;41;0;0;0
chr12;123581909;123582518;41;2;1;1
chr12;123874473;123874922;35;2;0;2
chr12;124692174;124692701;26;3;3;0
chr12;124972174;124972710;19;2;1;1
chr12;125761031;125761714;8;2;0;2
chr12;126052866;126053454;6;3;2;1
chr12;126129848;126130221;6;2;2;0
chr12;126301602;126302158;6;1;1;0
chr12;126694318;126694908;1;1;0;1
chr12;126703193;126703816;1;2;1;1
chr12;127483090;127483760;0;2;2;0
chr12;127780920;127781691;1;4;4;0
chr12;128531675;128532417;3;5;5;0
chr12;128725453;128726751;4;1;0;1
chr12;129207515;129208004;4;2;2;0
chr12;129349421;129349718;4;1;1;0
chr12;130034885;130035418;7;3;3;0
chr12;130803400;130803797;9;0;0;0
chr12;131204291;131204775;10;3;3;0
chr12;132569462;132569780;23;0;0;0
chr13;20715438;20715847;18;2;1;1
chr13;20725199;20725618;18;1;0;1
chr13;21421438;21422105;17;2;2;0
chr13;22112864;22113323;11;4;3;1
chr13;22273400;22273925;10;2;2;0
chr13;22471132;22471772;8;3;3;0
chr13;22484721;22485219;7;1;1;0
chr13;24084028;24084445;11;2;2;0
chr13;24135403;24135920;11;2;2;0
chr13;24546101;24546410;14;1;0;1
chr13;24726669;24727225;16;1;0;1
chr13;25287179;25287563;17;2;1;1
chr13;27184659;27185090;14;2;1;1
chr13;27700046;27700568;17;2;1;1
chr13;27982033;27982543;17;0;0;0
chr13;28924041;28924525;15;2;2;0
chr13;28950788;28951490;15;6;1;5
chr13;29061461;29062031;13;4;3;1
chr13;29142339;29142892;14;0;0;0
chr13;29293133;29293602;12;0;0;0
chr13;29557724;29558395;9;2;2;0
chr13;29641565;29642185;8;5;3;2
chr13;29784806;29785142;8;0;0;0
chr13;29958485;29959029;7;0;0;0
chr13;30009164;30009936;7;1;1;0
chr13;30012881;30013305;7;0;0;0
chr13;30278694;30279145;7;1;1;0
chr13;30623600;30624396;9;6;5;1
chr13;30831828;30832411;11;2;2;0
chr13;30950453;30950882;11;6;3;3
chr13;31234947;31235353;9;0;0;0
chr13;31239670;31240227;9;2;2;0
chr13;31327011;31327654;10;2;1;1
chr13;31331007;31332148;10;1;1;0
chr13;31571654;31572262;9;3;1;2
chr13;32527085;32527620;10;0;0;0
chr13;33045718;33046298;9;3;1;2
chr13;33818266;33818876;9;1;0;1
chr13;33826187;33826724;9;2;1;1
chr13;34295722;34296239;4;2;0;2
chr13;35304963;35305483;3;2;2;0
chr13;35326407;35326944;3;3;2;1
chr13;35805074;35805523;6;0;0;0
chr13;36073083;36073728;9;4;4;0
chr13;36108415;36108917;9;2;0;2
chr13;36369028;36369543;10;2;2;0
chr13;37459955;37460423;16;2;2;0
chr13;37966251;37967000;11;6;4;2
chr13;38989346;38989742;8;1;0;1
chr13;39341618;39342035;8;0;0;0
chr13;39685066;39685169;7;1;1;0
chr13;39685246;39685689;7;2;2;0
chr13;40026506;40026965;6;2;1;1
chr13;40118477;40119003;7;1;1;0
chr13;40152096;40152471;8;0;0;0
chr13;41016193;41016670;12;2;2;0
chr13;41237214;41237890;13;5;4;1
chr13;42929136;42929655;10;1;1;0
chr13;43564723;43565346;9;2;2;0
chr13;43796373;43796916;10;2;1;1
chr13;43842678;43843348;9;3;3;0
chr13;44340831;44341529;9;2;2;0
chr13;44341612;44342151;9;2;2;0
chr13;44560406;44560981;9;2;2;0
chr13;44678967;44679592;9;4;3;1
chr13;44884293;44884949;10;2;2;0
chr13;44937886;44938432;11;0;0;0
chr13;44942959;44943637;11;3;2;1
chr13;44956681;44957223;11;1;0;1
chr13;44960021;44960356;11;2;1;1
chr13;45046349;45046864;13;1;1;0
chr13;45374765;45375480;15;2;1;1
chr13;45770686;45771221;15;3;3;0
chr13;46014479;46015053;16;0;0;0
chr13;46246594;46247282;16;3;3;0
chr13;46361515;46362132;17;1;0;1
chr13;46370592;46371063;17;1;0;1
chr13;46395930;46396244;17;1;1;0
chr13;46397413;46398009;17;3;2;1
chr13;46442820;46443320;18;1;1;0
chr13;46930329;46930713;13;0;0;0
chr13;46976470;46976998;13;5;2;3
chr13;47072692;47073201;12;4;2;2
chr13;47240976;47241670;10;2;1;1
chr13;49448198;49448869;19;1;1;0
chr13;49821793;49822273;20;6;3;3
chr13;50018036;50018509;19;2;1;1
chr13;50184150;50184851;16;5;4;1
chr13;50943700;50944240;17;0;0;0
chr13;51034375;51034823;15;0;0;0
chr13;51253177;51253572;12;1;1;0
chr13;51265295;51265815;12;2;2;0
chr13;51267727;51268199;11;2;2;0
chr13;51472094;51472908;12;4;2;2
chr13;52165071;52165524;17;1;1;0
chr13;52360142;52360723;19;2;1;1
chr13;52775288;52776392;19;5;4;1
chr13;52803677;52804100;19;5;3;2
chr13;52982575;52982898;17;3;1;2
chr13;53150670;53151102;16;5;3;2
chr13;53182995;53184226;16;6;5;1
chr13;53510752;53511100;13;0;0;0
chr13;56591298;56591804;0;1;1;0
chr13;57765406;57765771;6;2;2;0
chr13;58081990;58082729;6;3;2;1
chr13;58240750;58241184;6;2;2;0
chr13;58448645;58449041;6;1;1;0
chr13;59560111;59560416;1;1;1;0
chr13;59989507;59990188;2;1;1;0
chr13;60324779;60325248;2;1;0;1
chr13;60804794;60805303;2;2;2;0
chr13;66921701;66922281;1;4;3;1
chr13;66967631;66968304;1;1;1;0
chr13;71027954;71028620;2;4;2;2
chr13;75222091;75222645;6;1;1;0
chr13;75976942;75977399;6;0;0;0
chr13;76494716;76495080;6;2;2;0
chr13;76579518;76580068;9;1;1;0
chr13;76601713;76602022;9;1;1;0
chr13;76707981;76708528;10;2;2;0
chr13;77096330;77096788;9;1;1;0
chr13;77193556;77194310;8;1;1;0
chr13;77266443;77266892;8;3;2;1
chr13;77435989;77436513;8;1;1;0
chr13;77769985;77770807;8;5;4;1
chr13;78120173;78120518;8;3;2;1
chr13;78483876;78484605;9;3;0;3
chr13;79980489;79980714;5;0;0;0
chr13;80564539;80565344;3;3;2;1
chr13;80596182;80596619;3;1;1;0
chr13;80933973;80934540;3;1;1;0
chr13;80935941;80936554;3;3;2;1
chr13;81748372;81748915;1;1;1;0
chr13;86237571;86238083;1;0;0;0
chr13;86480506;86480762;1;0;0;0
chr13;86549178;86549603;1;0;0;0
chr13;87038042;87038367;1;2;1;1
chr13;87535017;87535835;1;2;1;1
chr13;87746678;87747315;1;4;3;1
chr13;89775024;89775549;0;0;0;0
chr13;90417249;90417798;0;0;0;0
chr13;90967274;90967741;0;2;1;1
chr13;91277507;91277978;1;3;2;1
chr13;91484078;91484487;1;6;4;2
chr13;91840042;91840729;1;4;4;0
chr13;94157572;94157944;3;1;1;0
chr13;94380082;94380525;6;2;0;2
chr13;94581174;94581608;5;2;1;1
chr13;95048165;95048871;6;1;1;0
chr13;95085168;95086462;7;5;4;1
chr13;96166758;96167233;9;1;1;0
chr13;96261082;96261536;8;0;0;0
chr13;97336737;97337192;6;2;2;0
chr13;98999310;98999982;11;6;5;1
chr13;99515444;99515827;11;1;1;0
chr13;99599076;99599722;11;3;2;1
chr13;99624800;99625311;12;3;2;1
chr13;99960018;99960523;12;3;1;2
chr13;100311462;100311876;12;4;3;1
chr13;100396985;100397610;12;2;2;0
chr13;101457687;101458026;9;2;1;1
chr13;102357953;102358419;5;1;0;1
chr13;102545317;102545837;11;1;1;0
chr13;103657132;103657724;10;1;1;0
chr13;103658932;103659708;10;2;1;1
chr13;103841374;103841890;10;2;2;0
chr13;103940313;103941025;10;1;1;0
chr13;104382659;104383294;7;2;2;0
chr13;106220358;106221029;3;5;4;1
chr13;106631857;106632355;3;1;1;0
chr13;107574516;107575031;3;1;0;1
chr13;108806641;108807136;5;4;2;2
chr13;110239199;110239605;5;0;0;0
chr13;110389366;110390357;8;3;2;1
chr13;110396838;110397288;8;0;0;0
chr13;110535865;110536329;10;2;1;1
chr13;110628830;110629364;10;1;1;0
chr13;110778992;110779525;11;1;1;0
chr13;111016402;111016741;11;1;1;0
chr13;111193278;111193734;11;0;0;0
chr13;111904545;111904875;12;0;0;0
chr13;113004514;113005004;15;4;2;2
chr13;113332243;113332707;20;0;0;0
chr13;113398360;113398981;20;2;1;1
chr13;113676958;113677759;22;1;1;0
chr13;113785747;113786331;22;1;1;0
chr13;113858240;113858865;22;1;1;0
chr13;113870451;113871102;22;0;0;0
chr13;113878672;113879302;22;3;3;0
chr13;113880348;113880809;22;1;1;0
chr13;114054869;114055640;24;5;3;2
chr14;20773911;20774338;54;2;0;2
chr14;20801174;20801765;54;3;2;1
chr14;21268006;21268442;60;5;3;2
chr14;21944925;21945302;39;1;1;0
chr14;22956754;22957406;44;2;1;1
chr14;22965902;22966202;44;4;3;1
chr14;23541168;23541784;48;2;2;0
chr14;23877212;23877317;84;0;0;0
chr14;23907102;23907853;86;3;2;1
chr14;23912436;23913206;87;1;1;0
chr14;24163088;24163635;88;0;0;0
chr14;24584087;24584657;71;0;0;0
chr14;24835998;24836889;60;2;0;2
chr14;25515424;25515837;47;3;3;0
chr14;26126301;26126808;2;0;0;0
chr14;30364604;30364968;5;3;2;1
chr14;30824452;30824986;9;1;1;0
chr14;32040140;32040803;14;2;2;0
chr14;32505789;32506229;11;1;0;1
chr14;32619628;32620041;10;2;1;1
chr14;33953404;33953965;4;0;0;0
chr14;33983314;33983839;4;2;1;1
chr14;34428829;34429277;7;2;2;0
chr14;35010375;35010865;16;1;1;0
chr14;35015750;35016122;16;1;0;1
chr14;35025193;35025793;16;1;0;1
chr14;35761102;35761628;16;1;1;0
chr14;37118883;37119425;12;1;0;1
chr14;37273932;37274835;12;2;2;0
chr14;38520368;38520826;8;1;1;0
chr14;38911341;38911769;13;1;1;0
chr14;38991924;38992340;13;2;2;0
chr14;39449672;39450233;11;2;1;1
chr14;39923427;39923949;8;3;2;1
chr14;41656869;41657374;1;2;1;1
chr14;46020155;46020601;7;2;1;1
chr14;50061239;50061851;22;2;2;0
chr14;50467051;50467389;27;1;1;0
chr14;51117103;51117645;23;1;1;0
chr14;51171748;51172315;22;4;2;2
chr14;51586444;51586712;18;3;3;0
chr14;51974175;51974681;17;2;1;1
chr14;52476966;52477246;17;2;2;0
chr14;52481379;52481846;17;3;2;1
chr14;52529741;52530264;18;5;2;3
chr14;53427727;53428293;15;1;0;1
chr14;53929945;53930616;11;3;2;1
chr14;54234311;54234805;10;2;1;1
chr14;54464713;54465078;9;2;2;0
chr14;54953280;54953816;15;0;0;0
chr14;55237025;55237591;16;2;1;1
chr14;56023881;56024378;13;0;0;0
chr14;56530117;56530560;11;2;2;0
chr14;56679063;56679652;10;1;1;0
chr14;57057300;57057725;11;2;1;1
chr14;57117728;57118148;11;2;0;2
chr14;57363505;57364079;10;2;2;0
chr14;57516435;57517158;11;3;2;1
chr14;58599709;58600250;15;2;2;0
chr14;58604887;58605564;15;1;1;0
chr14;58658954;58659294;16;2;2;0
chr14;58893731;58894306;12;4;2;2
chr14;59110021;59110606;16;3;2;1
chr14;59135226;59136350;16;1;0;1
chr14;59252916;59253347;16;2;2;0
chr14;59421385;59421683;17;1;1;0
chr14;59524982;59525453;16;2;1;1
chr14;59800298;59800869;15;3;2;1
chr14;59808361;59808887;15;0;0;0
chr14;59824842;59825372;15;3;3;0
chr14;60558220;60558336;17;0;0;0
chr14;61440688;61441214;17;2;2;0
chr14;61448026;61448369;17;2;2;0
chr14;61885523;61886022;14;2;1;1
chr14;61932920;61933425;14;0;0;0
chr14;63216880;63217452;7;3;2;1
chr14;63227045;63227445;7;0;0;0
chr14;63372309;63372645;7;4;2;2
chr14;63992000;63992668;11;0;0;0
chr14;64321819;64322405;15;1;0;1
chr14;64326924;64327508;15;2;2;0
chr14;64474568;64475303;21;3;1;2
chr14;64908917;64909372;20;0;0;0
chr14;65161721;65162158;18;1;0;1
chr14;65190604;65191262;18;4;1;3
chr14;65469307;65469743;18;3;2;1
chr14;66217655;66218143;10;3;3;0
chr14;66316172;66316659;10;1;1;0
chr14;68283094;68283647;17;3;2;1
chr14;68570997;68571683;19;4;3;1
chr14;68758462;68759071;19;2;0;2
chr14;68808721;68809117;18;2;2;0
chr14;68859638;68859957;17;2;2;0
chr14;68876115;68876726;18;1;0;1
chr14;69078869;69079320;18;2;2;0
chr14;69128251;69128984;17;4;3;1
chr14;69128994;69129014;17;0;0;0
chr14;69129085;69129496;17;1;1;0
chr14;69196777;69197698;15;2;2;0
chr14;69200902;69201405;15;1;1;0
chr14;69206131;69206955;14;1;0;1
chr14;69263637;69264288;15;4;2;2
chr14;69865018;69865440;18;5;5;0
chr14;70097486;70097981;21;2;1;1
chr14;70233620;70234049;22;3;2;1
chr14;70559971;70560614;21;3;2;1
chr14;70647318;70647800;20;0;0;0
chr14;71634710;71635062;13;1;1;0
chr14;71650517;71651015;13;3;3;0
chr14;71711046;71711550;12;2;2;0
chr14;71851390;71851907;11;1;0;1
chr14;72006444;72007190;8;2;1;1
chr14;72083540;72084361;7;1;1;0
chr14;72318812;72319376;6;3;3;0
chr14;72452559;72452992;8;3;2;1
chr14;73155623;73156087;16;0;0;0
chr14;73268846;73269466;17;3;2;1
chr14;73355988;73356486;20;1;1;0
chr14;73448443;73448925;23;1;1;0
chr14;73472149;73472540;22;0;0;0
chr14;73493757;73494212;23;2;1;1
chr14;74250020;74250624;35;5;3;2
chr14;74607002;74607585;41;2;1;1
chr14;74977165;74977536;41;1;0;1
chr14;75088249;75088931;38;3;2;1
chr14;75121537;75121902;40;2;1;1
chr14;75704053;75704668;31;0;0;0
chr14;75876990;75877514;29;1;1;0
chr14;75888791;75889362;29;0;0;0
chr14;76292064;76292524;24;1;0;1
chr14;76413072;76413575;21;2;2;0
chr14;76524395;76525036;19;3;3;0
chr14;77234679;77235173;30;2;2;0
chr14;77580026;77580524;28;0;0;0
chr14;77582800;77583324;28;1;1;0
chr14;78341704;78342141;24;3;1;2
chr14;79300923;79301719;2;2;2;0
chr14;79305473;79306298;2;2;1;1
chr14;79772634;79773302;2;2;1;1
chr14;79887114;79887461;2;1;0;1
chr14;80134017;80134552;3;2;1;1
chr14;80172566;80173281;3;3;2;1
chr14;80297050;80297520;3;0;0;0
chr14;80325685;80326300;3;1;1;0
chr14;80365537;80366071;3;3;1;2
chr14;80700076;80700381;5;2;1;1
chr14;83364112;83364640;0;3;3;0
chr14;83472466;83472808;0;0;0;0
chr14;83558302;83558792;0;1;1;0
chr14;83911724;83912181;0;0;0;0
chr14;84509104;84509910;0;3;2;1
chr14;84869757;84870148;0;0;0;0
chr14;85494167;85494696;2;2;2;0
chr14;86038376;86038924;2;1;1;0
chr14;87186009;87186512;1;3;3;0
chr14;87486547;87486850;3;1;0;1
chr14;88490700;88491194;8;0;0;0
chr14;88531997;88532436;8;2;2;0
chr14;89921855;89922257;13;0;0;0
chr14;90538664;90539070;11;2;2;0
chr14;90722770;90723233;13;1;1;0
chr14;91041167;91041656;16;2;1;1
chr14;91108483;91108908;16;4;4;0
chr14;91218709;91219441;15;0;0;0
chr14;91621498;91621902;19;1;1;0
chr14;91791185;91792050;18;4;4;0
chr14;91975380;91975927;16;2;1;1
chr14;93002436;93002822;22;2;1;1
chr14;93511581;93512150;22;3;2;1
chr14;94421528;94422222;30;7;5;2
chr14;95593446;95594053;21;1;1;0
chr14;95666735;95667291;20;5;3;2
chr14;95715374;95715740;22;1;0;1
chr14;95773601;95774209;23;6;2;4
chr14;95992201;95992542;21;2;1;1
chr14;96067972;96068409;19;2;2;0
chr14;96337575;96338246;17;1;1;0
chr14;96350529;96351186;17;2;0;2
chr14;98370290;98370579;4;2;2;0
chr14;100225509;100226199;16;3;2;1
chr14;100250816;100251189;16;2;0;2
chr14;100448094;100448557;19;4;4;0
chr14;100749475;100749813;18;0;0;0
chr14;102186120;102186718;16;6;3;3
chr14;102560290;102560787;15;1;1;0
chr14;103640293;103640647;29;0;0;0
chr14;103983149;103983802;25;1;1;0
chr14;104143149;104143730;26;0;0;0
chr14;104283999;104284320;30;0;0;0
chr14;104757892;104758379;35;0;0;0
chr14;105048990;105049512;38;3;2;1
chr14;105505012;105505596;30;2;1;1
chr15;23027247;23027607;16;3;1;2
chr15;23893109;23893391;10;1;0;1
chr15;24908062;24908566;6;2;2;0
chr15;25810512;25811062;7;1;1;0
chr15;25886484;25886958;7;1;1;0
chr15;25942672;25943253;6;3;2;1
chr15;26038435;26038911;6;9;7;2
chr15;26639644;26640363;5;3;3;0
chr15;26805930;26806779;4;4;2;2
chr15;26957481;26958034;4;0;0;0
chr15;27633651;27634100;6;0;0;0
chr15;28518877;28519316;8;0;0;0
chr15;29671885;29672245;9;0;0;0
chr15;30113472;30113869;11;1;1;0
chr15;30133021;30133474;11;0;0;0
chr15;30487052;30487418;13;0;0;0
chr15;30610428;30610876;12;2;2;0
chr15;30612542;30613370;12;3;3;0
chr15;30618344;30618790;12;0;0;0
chr15;30667581;30668114;13;3;2;1
chr15;31561062;31561809;11;2;1;1
chr15;31645683;31646026;11;1;0;1
chr15;32501414;32502308;12;4;4;0
chr15;32635615;32635987;13;1;1;0
chr15;34393999;34394541;19;3;3;0
chr15;34551563;34552276;19;5;3;2
chr15;34635137;34635436;19;0;0;0
chr15;35088987;35089401;19;1;0;1
chr15;35654281;35654867;9;1;1;0
chr15;36654514;36655224;3;0;0;0
chr15;36763305;36763807;3;3;1;2
chr15;36871961;36872451;2;1;1;0
chr15;36897740;36898579;2;3;3;0
chr15;37065776;37066265;2;2;2;0
chr15;37066774;37067340;2;2;2;0
chr15;37067429;37067976;2;1;1;0
chr15;37120081;37120502;2;1;1;0
chr15;37180734;37181369;2;0;0;0
chr15;37195891;37196499;2;2;2;0
chr15;37260401;37260930;3;6;4;2
chr15;37288316;37289372;3;0;0;0
chr15;37350508;37350908;3;0;0;0
chr15;37384602;37385020;3;0;0;0
chr15;37392035;37392756;3;4;0;4
chr15;37423724;37424287;3;0;0;0
chr15;38303300;38303889;6;0;0;0
chr15;38360720;38361138;6;0;0;0
chr15;38520079;38520489;5;2;2;0
chr15;38543894;38544391;6;1;1;0
chr15;38746089;38746682;6;1;1;0
chr15;38912272;38912985;8;2;2;0
chr15;39491226;39491720;12;1;1;0
chr15;39693027;39693551;20;2;1;1
chr15;39721825;39722597;21;2;2;0
chr15;40526331;40526744;38;0;0;0
chr15;40618623;40619456;38;4;3;1
chr15;40622584;40622989;38;5;4;1
chr15;40728657;40729152;41;4;3;1
chr15;40861284;40861757;45;4;1;3
chr15;41116781;41117282;46;1;1;0
chr15;41133969;41134469;49;5;5;0
chr15;41895622;41896161;44;0;0;0
chr15;42071947;42072413;41;3;1;2
chr15;42248351;42248883;35;2;2;0
chr15;42564980;42565625;36;4;2;2
chr15;42868326;42868870;36;2;2;0
chr15;44039026;44039695;35;5;5;0
chr15;44169706;44170311;35;0;0;0
chr15;44222866;44223432;34;2;2;0
chr15;44331294;44331741;36;2;2;0
chr15;44398713;44399134;36;1;1;0
chr15;45361560;45361852;23;1;0;1
chr15;45381857;45382233;23;3;2;1
chr15;47624241;47624775;7;0;0;0
chr15;47690592;47691388;7;7;5;2
chr15;47704819;47705422;8;3;3;0
chr15;47713313;47714090;8;4;4;0
chr15;47899879;47900430;8;2;1;1
chr15;48034430;48034905;9;1;1;0
chr15;48060783;48061541;9;1;1;0
chr15;49388473;49389080;16;2;2;0
chr15;49720374;49721063;15;1;1;0
chr15;49722146;49722725;15;3;3;0
chr15;50306078;50306766;15;4;3;1
chr15;50542912;50543261;15;2;2;0
chr15;51436317;51436713;21;2;2;0
chr15;51476659;51477274;20;2;1;1
chr15;51607065;51607512;20;2;2;0
chr15;53403274;53403786;9;1;1;0
chr15;53495774;53496131;7;2;0;2
chr15;53815284;53815689;6;1;0;1
chr15;53951044;53951574;4;1;1;0
chr15;53962628;53963298;4;1;0;1
chr15;53986288;53987055;4;1;1;0
chr15;54024996;54025439;3;0;0;0
chr15;54079536;54079875;3;2;2;0
chr15;55518335;55518810;11;1;0;1
chr15;55981036;55981540;13;2;1;1
chr15;56076481;56076885;13;1;0;1
chr15;57179730;57180117;10;1;1;0
chr15;57675102;57675591;10;3;1;2
chr15;57704021;57704678;11;0;0;0
chr15;57789232;57789873;9;3;1;2
chr15;57874108;57874563;9;2;2;0
chr15;57887165;57887561;10;1;0;1
chr15;57887619;57888144;10;1;0;1
chr15;58624169;58624851;15;5;2;3
chr15;58810038;58810510;16;2;2;0
chr15;59783033;59783757;18;1;1;0
chr15;61107519;61107899;4;1;1;0
chr15;61478970;61479548;6;2;1;1
chr15;61844364;61844712;5;3;2;1
chr15;61913354;61913933;5;2;1;1
chr15;61931651;61931991;6;0;0;0
chr15;62688651;62689137;11;2;0;2
chr15;62696718;62697220;11;0;0;0
chr15;62748563;62749062;11;1;1;0
chr15;62755162;62755682;11;2;2;0
chr15;62777448;62777907;11;6;3;3
chr15;62787285;62788023;11;5;4;1
chr15;62798561;62799183;12;2;1;1
chr15;62914859;62915361;14;1;1;0
chr15;63108409;63109174;14;2;2;0
chr15;63117017;63117548;14;0;0;0
chr15;63136728;63137182;14;0;0;0
chr15;63375196;63375714;14;1;1;0
chr15;63510141;63510946;18;5;4;1
chr15;63890899;63891465;21;2;1;1
chr15;64450863;64451316;30;3;3;0
chr15;64799437;64799996;32;1;1;0
chr15;64800377;64800899;32;3;2;1
chr15;64858708;64859290;33;1;1;0
chr15;64981093;64981569;34;2;2;0
chr15;65090683;65091095;35;1;0;1
chr15;65426098;65426480;33;2;2;0
chr15;65710934;65711426;30;4;2;2
chr15;67069220;67069874;18;2;2;0
chr15;67142216;67142988;18;2;0;2
chr15;67171179;67171646;18;3;3;0
chr15;67268829;67269483;17;4;2;2
chr15;67356436;67356942;18;2;1;1
chr15;67357044;67357051;18;0;0;0
chr15;67378665;67379222;18;2;1;1
chr15;67434588;67435138;18;2;2;0
chr15;67456494;67457190;18;5;2;3
chr15;67468913;67469232;18;2;2;0
chr15;67931722;67932555;16;7;6;1
chr15;67953409;67953907;16;1;1;0
chr15;67997768;67998368;15;2;2;0
chr15;68449076;68449640;16;0;0;0
chr15;68460893;68461487;17;0;0;0
chr15;68859589;68860015;16;1;0;1
chr15;68996779;68997327;16;1;0;1
chr15;68999724;69000107;16;2;1;1
chr15;69770592;69770997;9;1;1;0
chr15;70380713;70381487;9;4;2;2
chr15;70393795;70394169;10;1;0;1
chr15;70434841;70435548;11;1;1;0
chr15;70463777;70464406;11;1;1;0
chr15;70473746;70474485;11;3;2;1
chr15;70504624;70505064;11;4;3;1
chr15;70577654;70578213;10;1;1;0
chr15;70578748;70579198;10;2;2;0
chr15;70730934;70731727;9;5;3;2
chr15;70962285;70962914;7;1;1;0
chr15;71049886;71050412;7;3;3;0
chr15;72100556;72101018;19;3;1;2
chr15;72433721;72434349;16;0;0;0
chr15;73666965;73667471;24;4;1;3
chr15;73668252;73668855;24;1;0;1
chr15;73681809;73682351;23;2;0;2
chr15;73791275;73791807;24;2;2;0
chr15;73809757;73810434;24;0;0;0
chr15;73970978;73971269;25;2;1;1
chr15;74008788;74009216;24;1;1;0
chr15;74021357;74021858;25;0;0;0
chr15;74213910;74214211;32;1;1;0
chr15;74513037;74513528;36;2;0;2
chr15;74557392;74557743;37;1;1;0
chr15;74838506;74838932;41;2;2;0
chr15;74877120;74877536;40;0;0;0
chr15;74885581;74885973;40;1;1;0
chr15;75069337;75069920;44;0;0;0
chr15;75199426;75199981;45;1;1;0
chr15;75335485;75336380;44;2;2;0
chr15;75339476;75339910;44;4;2;2
chr15;75519353;75520025;40;3;0;3
chr15;76052978;76053585;33;1;0;1
chr15;76357499;76358070;26;4;3;1
chr15;77364186;77364757;11;2;2;0
chr15;77471818;77472294;15;0;0;0
chr15;77481917;77482382;15;3;1;2
chr15;77708161;77708572;15;4;2;2
chr15;77712935;77713461;15;3;2;1
chr15;77914688;77915224;21;4;2;2
chr15;78151293;78151666;24;1;0;1
chr15;78156542;78156897;24;0;0;0
chr15;80126822;80127360;18;2;2;0
chr15;80412828;80413514;19;4;3;1
chr15;80580279;80580810;20;2;1;1
chr15;81865314;81866033;17;3;2;1
chr15;82044758;82045267;18;0;0;0
chr15;83473234;83473732;24;3;2;1
chr15;83474708;83475285;24;5;4;1
chr15;83654690;83655217;21;2;1;1
chr15;84764986;84765451;15;2;2;0
chr15;84852151;84852571;14;0;0;0
chr15;85360826;85361470;13;2;1;1
chr15;85889853;85890305;12;0;0;0
chr15;85904972;85905436;12;4;4;0
chr15;86247885;86248566;8;1;0;1
chr15;86251655;86252401;8;3;2;1
chr15;86267751;86268285;7;0;0;0
chr15;87115014;87115690;3;3;2;1
chr15;87372341;87372780;1;2;2;0
chr15;88647587;88648055;10;2;1;1
chr15;88866527;88867269;13;4;2;2
chr15;89408267;89408631;24;1;0;1
chr15;89660554;89661223;27;1;1;0
chr15;89662594;89663383;27;2;2;0
chr15;89706394;89706877;28;3;2;1
chr15;90637576;90638019;37;1;1;0
chr15;90791908;90792237;36;1;1;0
chr15;90886043;90886337;34;2;2;0
chr15;91040011;91040358;33;2;2;0
chr15;91040409;91041083;33;2;1;1
chr15;92345335;92345756;14;0;0;0
chr15;92432327;92432786;13;3;3;0
chr15;92434992;92435563;13;0;0;0
chr15;92472850;92473169;11;3;1;2
chr15;92561027;92561604;7;1;0;1
chr15;92686053;92686548;7;0;0;0
chr15;93374987;93375571;7;3;3;0
chr15;93756572;93757052;6;2;1;1
chr15;94498225;94499087;4;3;3;0
chr15;94670060;94670746;2;3;2;1
chr15;95836544;95837203;2;1;0;1
chr15;95846977;95847318;2;0;0;0
chr15;96730951;96731789;4;0;0;0
chr15;96959999;96960575;4;2;1;1
chr15;97149813;97150353;4;4;3;1
chr15;97859553;97859997;5;1;1;0
chr15;98410992;98411614;4;2;1;1
chr15;98433667;98434012;4;1;1;0
chr15;99239569;99240139;11;0;0;0
chr15;99248188;99248608;11;1;1;0
chr15;99312983;99313595;13;4;2;2
chr15;99383310;99383658;14;0;0;0
chr15;99606573;99607033;13;2;0;2
chr15;99846782;99847210;13;1;1;0
chr15;99994987;99995761;14;3;1;2
chr15;100107393;100107974;14;3;1;2
chr15;100208743;100209598;15;4;4;0
chr15;101699614;101700190;16;2;0;2
chr15;101702854;101703507;16;6;3;3
chr15;101795778;101796287;16;2;1;1
chr16;550706;551159;68;1;0;1
chr16;1024578;1024915;90;0;0;0
chr16;1577821;1578173;98;1;0;1
chr16;2092069;2092505;89;3;2;1
chr16;2962891;2963432;83;2;0;2
chr16;3037747;3038255;75;1;0;1
chr16;3398677;3399209;60;0;0;0
